Mes-Ano;Indice
01-2020;7211099
02-2020;6874883
03-2020;7221134
04-2020;5989911
05-2020;6697661
06-2020;7072807
07-2020;7684595
08-2020;7879739
09-2020;7786122
10-2020;8458378
11-2020;8860629
12-2020;10555992
01-2021;8007598
02-2021;7542415
03-2021;8106148
04-2021;8074266
05-2021;8810283
06-2021;8536998
07-2021;9154610
08-2021;8805687
09-2021;8423252
10-2021;8971376
11-2021;9617467
12-2021;11448710
01-2022;8840897
02-2022;8465125
03-2022;9462019
04-2022;9827902
05-2022;10203843
06-2022;9927605
07-2022;10117110
08-2022;9989147
09-2022;9614243
10-2022;10116527
11-2022;10642685
12-2022;12792897
01-2023;9863082
02-2023;9194993
03-2023;10333638
04-2023;10250578
05-2023;10343921
06-2023;10194553
07-2023;10370824
08-2023;10276799
09-2023;10175435
10-2023;10296079
11-2023;11324919
12-2023;13265453
01-2024;10343101
02-2024;10096604
03-2024;11176043
04-2024;10415838
05-2024;11481239
06-2024;10968344
07-2024;11257307
08-2024;11300567
09-2024;10828353
10-2024;11389404
11-2024;12498785
12-2024;14209112
01-2025;11254239
02-2025;10661627
