Mes-Ano;Fechamento
01-2020;9350.00
02-2020;8567.00
03-2020;6438.00
04-2020;8629.00
05-2020;9444.00
06-2020;9137.00
07-2020;11323.00
08-2020;11656.00
09-2020;10780.00
10-2020;13780.00
11-2020;19698.00
12-2020;28984.00
01-2021;33114.00
02-2021;45137.00
03-2021;58918.00
04-2021;57774.00
05-2021;37284.00
06-2021;35041.00
07-2021;41490.00
08-2021;48808.00
09-2021;43820.00
10-2021;61318.00
11-2021;57005.00
12-2021;46197.00
01-2022;37983.00
02-2022;43193.00
03-2022;45538.00
04-2022;37714.00
05-2022;31792.00
06-2022;19284.00
07-2022;23336.00
08-2022;19993.00
09-2022;19431.00
10-2022;20595.00
11-2022;17158.00
12-2022;16547.00
01-2023;23139.00
02-2023;23147.00
03-2023;28478.00
04-2023;29269.00
05-2023;27220.00
06-2023;30477.00
07-2023;29230.00
08-2023;25931.00
09-2023;26968.00
10-2023;34668.00
11-2023;37713.00
12-2023;42265.00
01-2024;42583.00
02-2024;61198.00
03-2024;71334.00
04-2024;60637.00
05-2024;67491.00
06-2024;62678.00
07-2024;64619.00
08-2024;58970.00
09-2024;63330.00
10-2024;70215.00
11-2024;96449.00
12-2024;93429.00
